part_number,official_pin,rev,slash,gauge_awg,color_code,color_name,specification,insulation,insulation_detail,wall,plating,conductor,conductor_material,stranding,conductor_od_in,wire_od_in,insulation_wall_in,weight_lb_per_kft,resistance_ohm_per_kft,temperature_c,voltage_v,m27500_symbol,datasheet,path
M22759_11-18-6,M22759/11-18-6,1,11,18,6,blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-6/M22759_11-18-6-rev1
M22759_11-18-7,M22759/11-18-7,1,11,18,7,violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-7/M22759_11-18-7-rev1
M22759_11-18-8,M22759/11-18-8,1,11,18,8,gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-8/M22759_11-18-8-rev1
M22759_11-18-9,M22759/11-18-9,1,11,18,9,white,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-9/M22759_11-18-9-rev1
M22759_11-18-90,M22759/11-18-90,1,11,18,90,white/black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-90/M22759_11-18-90-rev1
M22759_11-18-91,M22759/11-18-91,1,11,18,91,white/brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-91/M22759_11-18-91-rev1
M22759_11-18-92,M22759/11-18-92,1,11,18,92,white/red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-92/M22759_11-18-92-rev1
M22759_11-18-93,M22759/11-18-93,1,11,18,93,white/orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-93/M22759_11-18-93-rev1
M22759_11-18-94,M22759/11-18-94,1,11,18,94,white/yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-94/M22759_11-18-94-rev1
M22759_11-18-95,M22759/11-18-95,1,11,18,95,white/green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-95/M22759_11-18-95-rev1
M22759_11-18-96,M22759/11-18-96,1,11,18,96,white/blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-96/M22759_11-18-96-rev1
M22759_11-18-97,M22759/11-18-97,1,11,18,97,white/violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-97/M22759_11-18-97-rev1
M22759_11-18-98,M22759/11-18-98,1,11,18,98,white/gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x30,0.0475,0.068,0.0103,8.14,5.79,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-18-98/M22759_11-18-98-rev1
M22759_11-20-0,M22759/11-20-0,1,11,20,0,black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-0/M22759_11-20-0-rev1
M22759_11-20-1,M22759/11-20-1,1,11,20,1,brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-1/M22759_11-20-1-rev1
M22759_11-20-2,M22759/11-20-2,1,11,20,2,red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-2/M22759_11-20-2-rev1
M22759_11-20-3,M22759/11-20-3,1,11,20,3,orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-3/M22759_11-20-3-rev1
M22759_11-20-4,M22759/11-20-4,1,11,20,4,yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-4/M22759_11-20-4-rev1
M22759_11-20-5,M22759/11-20-5,1,11,20,5,green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-5/M22759_11-20-5-rev1
M22759_11-20-6,M22759/11-20-6,1,11,20,6,blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-6/M22759_11-20-6-rev1
M22759_11-20-7,M22759/11-20-7,1,11,20,7,violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-7/M22759_11-20-7-rev1
M22759_11-20-8,M22759/11-20-8,1,11,20,8,gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-8/M22759_11-20-8-rev1
M22759_11-20-9,M22759/11-20-9,1,11,20,9,white,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-9/M22759_11-20-9-rev1
M22759_11-20-90,M22759/11-20-90,1,11,20,90,white/black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-90/M22759_11-20-90-rev1
M22759_11-20-91,M22759/11-20-91,1,11,20,91,white/brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-91/M22759_11-20-91-rev1
M22759_11-20-92,M22759/11-20-92,1,11,20,92,white/red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-92/M22759_11-20-92-rev1
M22759_11-20-93,M22759/11-20-93,1,11,20,93,white/orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-93/M22759_11-20-93-rev1
M22759_11-20-94,M22759/11-20-94,1,11,20,94,white/yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-94/M22759_11-20-94-rev1
M22759_11-20-95,M22759/11-20-95,1,11,20,95,white/green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-95/M22759_11-20-95-rev1
M22759_11-20-96,M22759/11-20-96,1,11,20,96,white/blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-96/M22759_11-20-96-rev1
M22759_11-20-97,M22759/11-20-97,1,11,20,97,white/violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-97/M22759_11-20-97-rev1
M22759_11-20-98,M22759/11-20-98,1,11,20,98,white/gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x32,0.0380,0.058,0.0100,5.43,9.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-20-98/M22759_11-20-98-rev1
M22759_11-22-0,M22759/11-22-0,1,11,22,0,black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-0/M22759_11-22-0-rev1
M22759_11-22-1,M22759/11-22-1,1,11,22,1,brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-1/M22759_11-22-1-rev1
M22759_11-22-2,M22759/11-22-2,1,11,22,2,red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-2/M22759_11-22-2-rev1
M22759_11-22-3,M22759/11-22-3,1,11,22,3,orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-3/M22759_11-22-3-rev1
M22759_11-22-4,M22759/11-22-4,1,11,22,4,yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-4/M22759_11-22-4-rev1
M22759_11-22-5,M22759/11-22-5,1,11,22,5,green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-5/M22759_11-22-5-rev1
M22759_11-22-6,M22759/11-22-6,1,11,22,6,blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-6/M22759_11-22-6-rev1
M22759_11-22-7,M22759/11-22-7,1,11,22,7,violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-7/M22759_11-22-7-rev1
M22759_11-22-8,M22759/11-22-8,1,11,22,8,gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-8/M22759_11-22-8-rev1
M22759_11-22-9,M22759/11-22-9,1,11,22,9,white,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-9/M22759_11-22-9-rev1
M22759_11-22-90,M22759/11-22-90,1,11,22,90,white/black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-90/M22759_11-22-90-rev1
M22759_11-22-91,M22759/11-22-91,1,11,22,91,white/brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-91/M22759_11-22-91-rev1
M22759_11-22-92,M22759/11-22-92,1,11,22,92,white/red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-92/M22759_11-22-92-rev1
M22759_11-22-93,M22759/11-22-93,1,11,22,93,white/orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-93/M22759_11-22-93-rev1
M22759_11-22-94,M22759/11-22-94,1,11,22,94,white/yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-94/M22759_11-22-94-rev1
M22759_11-22-95,M22759/11-22-95,1,11,22,95,white/green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-95/M22759_11-22-95-rev1
M22759_11-22-96,M22759/11-22-96,1,11,22,96,white/blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-96/M22759_11-22-96-rev1
M22759_11-22-97,M22759/11-22-97,1,11,22,97,white/violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-97/M22759_11-22-97-rev1
M22759_11-22-98,M22759/11-22-98,1,11,22,98,white/gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x34,0.0300,0.049,0.0095,3.72,15.1,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-22-98/M22759_11-22-98-rev1
M22759_11-24-0,M22759/11-24-0,1,11,24,0,black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-0/M22759_11-24-0-rev1
M22759_11-24-1,M22759/11-24-1,1,11,24,1,brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-1/M22759_11-24-1-rev1
M22759_11-24-2,M22759/11-24-2,1,11,24,2,red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-2/M22759_11-24-2-rev1
M22759_11-24-3,M22759/11-24-3,1,11,24,3,orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-3/M22759_11-24-3-rev1
M22759_11-24-4,M22759/11-24-4,1,11,24,4,yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-4/M22759_11-24-4-rev1
M22759_11-24-5,M22759/11-24-5,1,11,24,5,green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-5/M22759_11-24-5-rev1
M22759_11-24-6,M22759/11-24-6,1,11,24,6,blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-6/M22759_11-24-6-rev1
M22759_11-24-7,M22759/11-24-7,1,11,24,7,violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-7/M22759_11-24-7-rev1
M22759_11-24-8,M22759/11-24-8,1,11,24,8,gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-8/M22759_11-24-8-rev1
M22759_11-24-9,M22759/11-24-9,1,11,24,9,white,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-9/M22759_11-24-9-rev1
M22759_11-24-90,M22759/11-24-90,1,11,24,90,white/black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-90/M22759_11-24-90-rev1
M22759_11-24-91,M22759/11-24-91,1,11,24,91,white/brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-91/M22759_11-24-91-rev1
M22759_11-24-92,M22759/11-24-92,1,11,24,92,white/red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-92/M22759_11-24-92-rev1
M22759_11-24-93,M22759/11-24-93,1,11,24,93,white/orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-93/M22759_11-24-93-rev1
M22759_11-24-94,M22759/11-24-94,1,11,24,94,white/yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-94/M22759_11-24-94-rev1
M22759_11-24-95,M22759/11-24-95,1,11,24,95,white/green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-95/M22759_11-24-95-rev1
M22759_11-24-96,M22759/11-24-96,1,11,24,96,white/blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-96/M22759_11-24-96-rev1
M22759_11-24-97,M22759/11-24-97,1,11,24,97,white/violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-97/M22759_11-24-97-rev1
M22759_11-24-98,M22759/11-24-98,1,11,24,98,white/gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x36,0.0240,0.043,0.0095,2.58,24.3,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-24-98/M22759_11-24-98-rev1
M22759_11-26-0,M22759/11-26-0,1,11,26,0,black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x38,0.0190,0.038,0.0095,1.9,38.4,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-26-0/M22759_11-26-0-rev1
M22759_11-26-1,M22759/11-26-1,1,11,26,1,brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x38,0.0190,0.038,0.0095,1.9,38.4,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-26-1/M22759_11-26-1-rev1
M22759_11-26-2,M22759/11-26-2,1,11,26,2,red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x38,0.0190,0.038,0.0095,1.9,38.4,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-26-2/M22759_11-26-2-rev1
M22759_11-26-3,M22759/11-26-3,1,11,26,3,orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x38,0.0190,0.038,0.0095,1.9,38.4,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-26-3/M22759_11-26-3-rev1
M22759_11-26-4,M22759/11-26-4,1,11,26,4,yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x38,0.0190,0.038,0.0095,1.9,38.4,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-26-4/M22759_11-26-4-rev1
M22759_11-26-5,M22759/11-26-5,1,11,26,5,green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x38,0.0190,0.038,0.0095,1.9,38.4,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-26-5/M22759_11-26-5-rev1
M22759_11-26-6,M22759/11-26-6,1,11,26,6,blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x38,0.0190,0.038,0.0095,1.9,38.4,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-26-6/M22759_11-26-6-rev1
M22759_11-26-7,M22759/11-26-7,1,11,26,7,violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x38,0.0190,0.038,0.0095,1.9,38.4,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-26-7/M22759_11-26-7-rev1
M22759_11-26-8,M22759/11-26-8,1,11,26,8,gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x38,0.0190,0.038,0.0095,1.9,38.4,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-26-8/M22759_11-26-8-rev1
